Language,original,english,german,chinesesimp,chinese,russian,czech,polish,hungarian,italian,spanish,french,portuguese,japanese,Column 16
message_is_empty,Message field is empty,Message field is empty,Nachricht ist leer,消息字段为空,消息字段為空,Поле сообщения пусто,Pole zprávy je prázdné,Pole wiadomości jest puste,Üzenetmező üres,Il campo del messaggio è vuoto,El campo del mensaje está vacío,Le champ du message est vide,O campo da mensagem está vazio,メッセージフィールドが空です,
Show_Map,Map,Map,Karte,地图,地圖,карта,Mapa,Mapa,Térkép,Carta geografica,Mapa,Carte,Mapa,地図,
Contacts,Contacts,Contacts,Kontakte,联络人,聯絡人,Контакты,Kontakty,Łączność,Névjegyek,Contatti,Contactos,Contacts,Contatos,連絡先,
Add_Contacts,Add Contacts,Add Contacts,Kontakt hinzufügen,添加联系人,添加聯繫人,Добавить контакты,Přidat kontakty,Dodaj kontakty,Személyek hozzáadása,Aggiungi contatti,Añadir contactos,Ajouter des contacts,Adicionar contatos,連絡先を追加,
Player,Player,Player,Spieler,播放器,播放器,Игрок,Hráč,Gracz,Játékos,Giocatore,Jugador,Joueur,Jogador,プレーヤー,
Date_time,Date Time,Date Time,Datum Uhrzeit,约会时间,約會時間,Дата Время,Čas schůzky,Data i godzina,Dátum idő,Appuntamento,Fecha y hora,Date Heure,Data hora,日付時刻,
Message_Preview,Message Preview,Message Preview,Vorschau,留言预览,留言預覽,Предварительный просмотр сообщения,Náhled zprávy,Podgląd wiadomości,Üzenet előnézete,Anteprima del messaggio,Vista previa del mensaje,Aperçu du message,Antevisão da Mensagem,メッセージプレビュー,
Delete_Contacts,Delete Contact,Delete Contact,Kontakt Löschen,删除联络人,刪除聯絡人,Удалить контакт,Smazat kontakt,Usuń kontakt,Névjegy törlése,Elimina contatto,Borrar contacto,Supprimer le contact,Excluir contato,連絡先を削除,
Send_Global,Send Global,Send Global,An alle senden,发送全球,發送全球,Отправить по всему миру,Odeslat globálně,Wyślij globalnie,Küldés globális,Invia globale,Enviar Global,Envoyer global,Enviar Global,グローバルに送信,
SOS_Cop,SoS,SoS,SoS,服务,服務,SoS,SOS,SoS,SOS,Sos,llamada de socorro,SOS,SOS,SoS,
Send_Medic,Send to Medics,Send to Medics,An Medics senden,发送给医生,發送給醫生,Отправить к медикам,Poslat lékařům,Wyślij do Medyków,Küldje el az orvosoknak,Invia a medici,Enviar a médicos,Envoyer aux médecins,Enviar para Medics,メディックスに送る,
Delete_Message,Delete Message,Delete Message,Nachricht Löschen,删除留言,刪除留言,Удаленное сообщение,Smazat zprávu,Usuń wiadomość,Üzenet törlése,Cancella il messaggio,Borrar mensaje,Supprimer le message,Apagar mensagem,メッセージを削除,
replay_to_player,Replay to player,Replay to player,Spieler Antworten,重播给玩家,重播給玩家,Воспроизвести игроку,Přehrát hráči,Odtwórz ponownie graczowi,Visszajátszás a lejátszóra,Riproduci di nuovo al giocatore,Reproducir al jugador,Rejouer au joueur,Repetir para o jogador,プレイヤーにリプレイ,
send_to_online_player,Send to online Player,Send to online Player,Senden zu online Spieler,发送到在线播放器,發送到在線播放器,Отправить онлайн-игроку,Odeslat online hráči,Wyślij do gracza online,Küldés az online lejátszóra,Invia al giocatore in linea,Enviar a jugador en línea,Envoyer au joueur en ligne,Enviar para jogador online,オンラインプレーヤーに送信,
send_to_contact,Send to contact,Send to contact,Senden zu Kontakt,发送给联系人,發送給聯繫人,Отправить в контакт,Odeslat kontakt,Wyślij do kontaktu,Küldés a kapcsolattartónak,Invia a contatto,Enviar a contacto,Envoyer au contact,Enviar para contato,連絡先に送信,
Message_Menu,Messages,Messages,Nachrichten,留言内容,留言內容,Сообщения,Zprávy,Wiadomości,üzenetek,Messaggi,Mensajes,messages,Mensagens,メッセージ,
your_message,Your message,Your message,Deine Nachricht,您的留言,您的留言,Ваше сообщение,Vaše zpráva,Twoja wiadomość,Az üzeneted,Il tuo messaggio,Tu mensaje,Votre message,Sua mensagem,あなたのメッセージ,
message_was_send,Message was send,Message was send,Nachricht wurde gesendet,消息已发送,消息已發送,Сообщение было отправлено,Zpráva byla odeslána,Wiadomość została wysłana,Üzenet elküldve,Il messaggio è stato inviato,Se envió el mensaje,Le message a été envoyé,A mensagem foi enviada,メッセージが送信されました,
you_got_a_message,You got a message,You got a message,Du hast eine neue Nachricht,您收到一条消息,您收到一條消息,У тебя есть сообщение,Máte zprávu,Dostałeś wiadomość,Van egy üzeneted,Hai ricevuto un messaggio,Tienes un mensaje,Vous avez un message,Você recebeu uma mensagem,メッセージが届きました,
missing_tool_item,You have not the tools to start this action,You have not the tools to start this action,Du hast nicht das Werkzeug um die Aktion auszuführen.,您没有启动此操作的工具,您沒有啟動此操作的工具,"У вас нет инструментов, чтобы начать это действие",K zahájení této akce nemáte nástroje,"Nie masz narzędzi, aby rozpocząć tę akcję",Nincsenek eszközei a művelet elindításához,Non hai gli strumenti per avviare questa azione,No tienes las herramientas para iniciar esta acción.,Vous n'avez pas les outils pour démarrer cette action,Você não tem as ferramentas para iniciar esta ação,このアクションを開始するためのツールがありません,
you_can_not_answer_this_message_missing_sender_id,"You can not answer this message,missing sender id","You can not answer this message,missing sender id",Du kannst auf diese Nachricht nicht antworten. Fehlende Absender ID,您无法回答此消息，缺少发件人ID,您無法回答此消息，缺少發件人ID,"Вы не можете ответить на это сообщение, отсутствует идентификатор отправителя","Na tuto zprávu nemůžete odpovědět, chybí ID odesílatele","Nie możesz odpowiedzieć na tę wiadomość, brak identyfikatora nadawcy","Nem válaszolhat erre az üzenetre, hiányzik a feladó azonosítója","Non puoi rispondere a questo messaggio, manca l'ID mittente","No puede contestar este mensaje, falta la identificación del remitente","Vous ne pouvez pas répondre à ce message, identifiant d'expéditeur manquant","Você não pode responder a esta mensagem, ID de remetente ausente",送信者IDがないため、このメッセージに回答できません,
recipient_is_not_online_you_can_not_answer,"Recipient is not online,you can not answer.","Recipient is not online,you can not answer.","Empfänger ist nicht online,du kannst nicht antworten.",收件人不在网上，您无法回答。,收件人不在網上，您無法回答。,"Получатель не в сети, вы не можете ответить.","Příjemce není online, nemůžete odpovědět.","Odbiorca nie jest online, nie możesz odpowiedzieć.","A címzett nincs online állapotban, nem tud válaszolni.","Il destinatario non è online, non puoi rispondere.","El destinatario no está en línea, no puede responder.","Le destinataire n'est pas en ligne, vous ne pouvez pas répondre.","O destinatário não está online, você não pode responder.",受信者はオンラインではありません、あなたは答えることができません。,
inbox,Inbox,Inbox,Eingang,收件箱,收件箱,Входящие,Doručená pošta,W pudełku,Beérkező levelek,Posta in arrivo,Bandeja de entrada,Boîte de réception,Caixa de entrada,受信トレイ,
outbox,Outbox,Outbox,Ausgang,发件箱,發件箱,Исходящие,K odeslání,Skrzynka nadawcza,Kimenő,Posta in uscita,Bandeja de salida,Boîte d'envoi,Caixa de fora,送信トレイ,
hospital_heal_will_enabled,Hospital heal possible in:,Hospital heal possible in:,Krankenhausheilung möglich in:,医院可以通过以下方式治愈：,醫院可以通過以下方式治愈：,Больничное лечение возможно в:,Nemocniční uzdravení možné v:,Leczenie szpitalne możliwe w:,Kórházi gyógyulás lehetséges:,Guarigione ospedaliera possibile in:,Curación hospitalaria posible en:,Guérison hospitalière possible dans:,A cura hospitalar é possível em:,可能な病院の治癒：,
kill_will_enabled,Kill is possible in:,Kill is possible in:,Sterben ist möglich in:,可以在以下情况中杀死：,可以在以下情況中殺死：,Убить можно:,Zabít je možné v:,Zabijanie jest możliwe w:,A gyilkolás lehetséges:,Uccidere è possibile in:,Matar es posible en:,Tuer est possible dans:,É possível matar em:,キルは次の場所で可能です：,
you_are_not_the_owner_can_not_change,"You are not the owner, you can not change it.","You are not the owner, you can not change it.","Sie sind nicht der Eigentümer, Sie können es nicht ändern.",您不是所有者，无法更改。,您不是所有者，無法更改。,"Вы не являетесь владельцем, вы не можете его изменить.","Nejste vlastníkem, nemůžete to změnit.","Nie jesteś właścicielem, nie możesz tego zmienić.","Ön nem a tulajdonos, nem változtathatja meg.","Non sei il proprietario, non puoi cambiarlo.","No eres el propietario, no puedes cambiarlo.","Vous n'êtes pas le propriétaire, vous ne pouvez pas le changer.","Você não é o dono, você não pode mudá-lo.",あなたは所有者ではありません。変更することはできません。,
player_was_not_found,Player was not found.,Player was not found.,Spieler wurde nicht gefunden.,找不到播放器。,找不到播放器。,Игрок не найден.,Hráč nebyl nalezen.,Nie znaleziono gracza.,A lejátszó nem található.,Il giocatore non è stato trovato.,No se encontró el jugador.,Le joueur n'a pas été trouvé.,O jogador não foi encontrado.,プレーヤーが見つかりませんでした。,
owner_has_changed,Owner has changed.,Owner has changed.,Besitzer hat sich geändert.,所有者已更改。,所有者已更改。,Владелец сменился.,Vlastník se změnil.,Właściciel się zmienił.,Tulajdonos megváltozott.,Il proprietario è cambiato.,El propietario ha cambiado.,Le propriétaire a changé.,O proprietário mudou.,所有者が変更されました。,
change_owner_to,Change owner to,Change owner to,Besitzer wechseln zu,将所有者更改为,將所有者更改為,Сменить владельца на,Změnit vlastníka na,Zmień właściciela na,Tulajdonos módosítása erre:,Cambia proprietario in,Cambiar propietario a,Changer de propriétaire en,Alterar proprietário para,所有者をに変更します,
change_owner,Change owner,Change owner,Besitzer wechseln,变更拥有者,變更擁有者,Сменить владельца,Změnit vlastníka,Zmiana właściciela,Tulajdonos cseréje,Cambiare proprietario,Cambio de propietario,Changer de propriétaire,Alterar proprietário,所有者を変更する,
there_is_one_shop_robbery_run_at_the_moment,There is already one shop robbery at the moment. You cant start it.,There is already one shop robbery at the moment. You cant start it.,Derzeit gibt es bereits einen Ladenraub. Du kannst es nicht starten.,目前已经有一家商店抢劫案。 您无法启动。,目前已經有一家商店搶劫案。 您無法啟動。,На данный момент уже произошло одно ограбление магазина. Вы не можете его запустить.,V tuto chvíli již existuje jedna krádež v obchodě. Nemůžeš to spustit.,W tej chwili jest już jeden napad na sklep. Nie możesz tego zacząć.,Jelenleg már egy boltrablás van. Nem tudod elindítani.,Al momento c'è già una rapina in negozio. Non puoi avviarlo.,Ya hay un robo en una tienda en este momento. No puedes iniciarlo.,Il y a déjà un vol de magasin en ce moment. Vous ne pouvez pas le démarrer.,Já existe um assalto a uma loja no momento. Você não pode começar.,現在、すでに1つの店の強盗があります。 あなたはそれを開始することはできません。,
one_shop_is_already_robt_take_the_money_there,One shop has already been robbed. Take the money from this shop.,One shop has already been robbed. Take the money from this shop.,Ein Geschäft wurde bereits ausgeraubt. Nim das Geld aus diesem Shop.,一家商店已被抢劫。 从这家商店拿钱。,一家商店已被搶劫。 從這家商店拿錢。,Один магазин уже ограбили. Возьми деньги из этого магазина.,Jeden obchod již byl okraden. Vezměte peníze z tohoto obchodu.,Jeden sklep został już okradziony. Weź pieniądze z tego sklepu.,Egy boltot már kiraboltak. Vedd el a pénzt ebből az üzletből.,Un negozio è già stato rapinato. Prendi i soldi da questo negozio.,Ya han robado una tienda. Coge el dinero de esta tienda.,Un magasin a déjà été cambriolé. Prenez l'argent de cette boutique.,Uma loja já foi roubada. Pegue o dinheiro desta loja.,すでに1店舗が奪われています。 この店からお金を取りなさい。,
rob_raid_was_started,Shop robbery has been launched.,Shop robbery has been launched.,Ladenüberfall wurde gestartet.,商店抢劫已经展开。,商店搶劫已經展開。,Началось ограбление магазина.,Byla zahájena loupež.,Rozpoczęto napad na sklep.,Boltrablás indult.,La rapina in negozio è stata lanciata.,Se ha iniciado el robo de una tienda.,Le vol d'atelier a été lancé.,Roubo de loja foi lançado.,ショップ強盗が開始されました。,
max_money_for_shop_rob_reached_take_fast_the_money,Maximum loot for the shop robbery has been reached. Take the money.,Maximum loot for the shop robbery has been reached. Take the money.,Maximales Beute für den Ladenüberfall ist erreicht. Nimm das Geld.,已达到抢劫商店的最大赃物。 拿钱,已達到搶劫商店的最大贓物。 拿錢,Достигнуто максимальное количество добычи за ограбление магазина. Взять деньги.,Bylo dosaženo maximální kořisti za krádež obchodu. Vezměte si peníze.,Osiągnięto maksymalną liczbę łupów za napad na sklep. Weź pieniądze.,Elérték az üzletrablás maximális zsákmányát. Vedd el a pénzt.,È stato raggiunto il bottino massimo per la rapina in negozio. Prendi i soldi.,Se ha alcanzado el botín máximo por el robo de la tienda. Toma el dinero.,Le butin maximum pour le vol d'atelier a été atteint. Prenez l'argent.,O saque máximo para o roubo da loja foi atingido. Pegue o dinheiro.,店の強盗の最大戦利品に達しました。 お金を取りなさい。,
max_money_for_shop_rob_reached_take_fast_the_money,The maximum duration for shop robbery has been reached. Take the money.,The maximum duration for shop robbery has been reached. Take the money.,Die maximale Dauer für Ladenüberfall ist erreicht. Nimm das Geld.,已达到抢劫商店的最长期限。 拿钱,已達到搶劫商店的最長期限。 拿錢,Достигнута максимальная продолжительность ограбления магазина. Взять деньги.,Bylo dosaženo maximální doby loupeže v obchodě. Vezměte si peníze.,Osiągnięto maksymalny czas trwania napadu na sklep. Weź pieniądze.,Elérték az üzletrablás maximális időtartamát. Vedd el a pénzt.,È stata raggiunta la durata massima per rapina in negozio. Prendi i soldi.,Se ha alcanzado la duración máxima para el robo de una tienda. Toma el dinero.,La durée maximale du vol d'atelier a été atteinte. Prenez l'argent.,A duração máxima para roubo de loja foi atingida. Pegue o dinheiro.,店の強盗の最大期間に達しました。 お金を取りなさい。,
police_was_informed_that_you_raid_the_shop,"Police was informed, that you rob the shop.","Police was informed, that you rob the shop.","Die Polizei wurde informiert, dass du den Laden ausraubst.",警方被告知，您抢劫了商店。,警方被告知，您搶劫了商店。,"Полиции сообщили, что вы ограбили магазин.","Policie byla informována, že vyloupíte obchod.","Policja została poinformowana, że obrabowałeś sklep.","A rendőrséget arról tájékoztatták, hogy kirabolja az üzletet.",La polizia è stata informata che hai rapinato il negozio.,Se informó a la policía que robaste la tienda.,La police a été informée que vous cambriolez le magasin.,A polícia foi informada de que você roubou a loja.,警察はあなたが店を奪ったと知らされました。,
shop_is_raided_by_sender,A shop is robt by:,A shop is robt by:,Ein Geschäft wird ausgeraubt von:,一家商店因以下原因而被抢劫：,一家商店搶劫的原因是：,Магазин грабят:,Obchod okrádá:,Sklep okrada:,Az üzletet az alábbiak határozzák meg:,Un negozio è stato derubato da:,Una tienda es robada por:,Un magasin est volé par:,Uma loja é roubada por:,ショップは次の人によって奪われています：,
you_can_not_take_the_money_wrong_position,"You can't take the loot here, wrong deal.","You can't take the loot here, wrong deal.","Du kannst die Beute hier nicht nehmen, falsches Geschäft.",您不能在这里抢劫，交易不正确。,您不能在這裡掠奪物品，交易不正確。,"Вы не можете взять добычу здесь, неправильная сделка.","Nemůžete tu kořist vzít, špatně.","Nie możesz tu zabrać łupu, zła umowa.","Nem viheti el a zsákmányt, rossz üzlet.","Non puoi prendere il bottino qui, affare sbagliato.","No puedes llevarte el botín aquí, trato equivocado.","Vous ne pouvez pas prendre le butin ici, mauvaise affaire.","Você não pode pegar o saque aqui, negócio errado.",あなたはここで戦利品を取ることはできません、間違った取引。,
there_is_no_money_to_take,There is no money to take. Start a robbery first.,There is no money to take. Start a robbery first.,Es gibt kein Geld zu nehmen. Starte zuerst einen Raubüberfall.,没有钱可以拿。 首先开始抢劫。,沒有錢可以拿。 首先開始搶劫。,Денег брать нет. Сначала начните ограбление.,"Nejsou peníze, které by se daly vzít. Nejprve začněte loupež.",Nie ma pieniędzy do wzięcia. Najpierw rozpocznij napad.,Nincs elvihető pénz. Kezdj el először egy rablást.,Non ci sono soldi da prendere. Inizia prima una rapina.,No hay dinero para tomar. Inicia un atraco primero.,Il n'y a pas d'argent à prendre. Commencez d'abord un braquage.,Não há dinheiro para levar. Comece um assalto primeiro.,取るお金はありません。 最初に強盗を開始します。,
there_is_one_bank_robbery_run_at_the_moment, There is already one bank robbery at the moment. You cant start it.,There is already one bank robbery at the moment. You cant start it.,Derzeit gibt es bereits einen Banküberfall. Du kannst es nicht starten.,目前已经发生了一起银行抢劫案。 您无法启动。,目前已經發生了一起銀行搶劫案。 您無法啟動。,На данный момент уже произошло одно ограбление банка. Вы не можете его запустить.,V tuto chvíli již existuje jedna bankovní loupež. Nemůžeš to spustit.,W tej chwili jest już jeden napad na bank. Nie możesz tego zacząć.,Jelenleg már egy bankrablás van. Nem tudod elindítani.,Al momento c'è già una rapina in banca. Non puoi avviarlo.,  Ya hay un atraco a un banco en este momento. No puedes iniciarlo.,  Il y a déjà un vol de banque en ce moment. Vous ne pouvez pas le démarrer.,  Já existe um assalto a banco no momento. Você não pode começar.,  現在、銀行強盗はすでに1件あります。 あなたはそれを開始することはできません。,
rob_shop,Rob shop,Rob shop,Shop überfallen,抢店,搶店,Грабить магазин,Rob shop,Rob sklep,Rob bolt,Rob shop,Rob tienda,Boutique Rob,Loja de rob,ロブショップ,
rob_raid_was_stopped,Shop raid was stopped,Shop raid was stopped,Shopüberfall wurde gestoppt.,商店突袭行动已停止,商店突襲行動已停止,Рейд в магазине остановлен,Nájezd do obchodu byl zastaven,Napad na sklep został zatrzymany,A bolti rajtaütést leállították,Il raid in negozio è stato fermato,Se detuvo la redada en la tienda,Le raid dans la boutique a été arrêté,A invasão da loja foi interrompida,ショップレイドは停止されました,
raid_can_started_earliest_in,Raid can started earliest in,Raid can started earliest in,Überfall führestens in,突袭最早可以开始,突襲最早可以開始,Рейд может начаться раньше всего в,Raid může začít nejdříve v,Najazd można rozpocząć najwcześniej w,A Raid leghamarabb kezdődhet,Il raid può essere avviato prima in,La incursión puede comenzar antes en,Le raid peut commencer le plus tôt,A invasão pode começar logo em,RAIDは最も早く開始できます,
seconds,seconds,seconds,Sekunden,秒,秒,секунды,sekundy,sekundy,másodpercig,secondi,segundos,secondes,segundos,秒,
raid_can_not_start_to_less_cops,"Raid can not start,to less cops on server","Raid can not start,to less cops on server","Überfall kann nicht gestartet werden,zu wenig Polizisten auf dem Server.",突袭无法开始，以减少服务器上的警察,突襲無法開始，以減少服務器上的警察,"Рейд не запускается, чтобы меньше копов на сервере","Raid nelze spustit, aby méně policajtů na serveru","Nie można rozpocząć nalotu, ponieważ na serwerze jest mniej gliniarzy","A Raid nem tud elindulni, kevesebb zsarun a szerveren","Raid non può iniziare, a meno poliziotti sul server","Raid no puede comenzar, a menos policías en el servidor","Le raid ne peut pas démarrer, à moins de flics sur le serveur","Raid não pode começar, para menos policiais no servidor",サーバー上の警官を減らすために、RAIDを開始できません,
one_bank_rob_is_already_started,A bank robbery has already been started. Shoplifting cannot be started.,A bank robbery has already been started. Shoplifting cannot be started.,Ein Bankraub wurde bereits gestartet. Ladenraub kann nicht gestarted werde.,抢劫银行已经开始。 无法开始入店行窃。,搶劫銀行已經開始。 無法開始入店行竊。,Ограбление банка уже началось. Кража в магазине не может быть начата.,Bankovní loupež již byla zahájena. Krádež v obchodě nelze spustit.,Napad na bank już się rozpoczął. Nie można rozpocząć kradzieży w sklepie.,Bankrablás már megkezdődött. A bolti lopás nem indítható el.,È già iniziata una rapina in banca. Il taccheggio non può essere avviato.,Ya se inició un robo a un banco. No se puede iniciar el hurto.,Un braquage de banque a déjà commencé. Le vol à l'étalage ne peut pas être commencé.,Um assalto a banco já foi iniciado. O furto em lojas não pode ser iniciado.,銀行強盗はすでに始まっています。 万引きを開始できません。,
one_shop_rob_is_already_started,A shop robbery has already been started. Bank robbery cannot be started.,A shop robbery has already been started. Bank robbery cannot be started.,Ein Ladenraub hat bereits begonnen. Kann nicht gestarted werde.,抢劫商店已经开始。 无法开始抢劫银行。,搶劫商店已經開始。 無法開始搶劫銀行。,Ограбление магазина уже началось. Ограбление банка не может быть начато.,Loupež v obchodě již byla zahájena. Nelze spustit bankovní loupež.,Napad na sklep już się rozpoczął. Nie można rozpocząć napadu na bank.,Bolti rablás már megkezdődött. Bankrablás nem indítható el.,È già stata avviata una rapina in negozio. La rapina in banca non può essere avviata.,Ya se ha iniciado un robo en una tienda. No se puede iniciar el robo de un banco.,Un vol de magasin a déjà commencé. Le vol de banque ne peut pas être commencé.,O assalto à loja já foi iniciado. O assalto a banco não pode ser iniciado.,店の強盗はすでに始まっています。 銀行強盗は開始できません。,
create_ticket,Create a ticket,Create a ticket,Ein Ticket erstellen,创建一个票据,創建票證,Создать билет,Vytvořit lístek,Tworzenie biletu,Jegy létrehozása,Creare un biglietto,Crear un billete,Créer un ticket,Criar um bilhete,チケットの作成,
create_ticket_menu,Create ticket menu,Create ticket menu,Menü Ticket erstellen,创建票据菜单,創建票證菜單,Создать меню билетов,Nabídka Vytvořit tip,"Menu ""Utwórz bilet",Jegy létrehozása menü,Menu Crea biglietto,Menú de creación de tickets,Menu Créer un ticket,Criar menu de bilhetes,チケット作成メニュー,
ticket_reason,Reason,Reason,Grund,原因,原因,Причина,Důvod,Powód,Ok,Motivo,Motivo,Motif,Motivo,理由,
ticket_fine,Dunning fee,Dunning fee,Mahngebühr,退票费,催款費,Сумма сбора за проезд,Poplatek za dunning,Opłata za wydalenie,Emlékeztetési díj,Tassa di stordimento,Tasa de reclamación,Frais de relance,Taxa de cobrança,罰金,
you_got_a_ticket,You got a ticket,You got a ticket,Sie haben ein Ticket bekommen,你得到了一张罚单,你有票,У тебя есть билет,Dostali jste letenku,Otrzymałeś bilet,Jegyet kapott,Hai ricevuto un biglietto,Has recibido un ticket,Vous avez reçu un ticket,Tem um bilhete,チケットを取得した,
you_gave_a_player_a_ticket,You gave a player a ticket,You gave a player a ticket,Sie haben einem Spieler ein Ticket gegeben,你给了一个玩家一张票,你給玩家一張票,Ты дал игроку билет,Dali jste hráči vstupenku,Dałeś graczowi bilet,Jegyet adtál egy játékosnak,Hai dato un biglietto a un giocatore,Has dado un ticket a un jugador,Vous avez donné un ticket à un joueur,Deu a um jogador um bilhete,プレイヤーにチケットを渡した,
give_a_ticket,Give a ticket,Give a ticket,Ein Ticket geben,给予票据,出票,Дайте билет,Dát lístek,Wystaw bilet,Jegyet adtál,Dare un biglietto,Dar un ticket,Donner un ticket,Dar um bilhete,チケットを渡す,
no_ticket_selected,No ticket selected.,No ticket selected.,Kein Ticket ausgewählt.,没有选择票据。,未選擇票證。,Билеты не выбраны.,Nebyl vybrán žádný lístek.,Nie wybrano biletu.,Nincs kiválasztott jegy.,Nessun biglietto selezionato.,No se ha seleccionado ningún ticket.,Aucun ticket sélectionné.,Nenhum bilhete seleccionado.,チケットが選択されていません。,
ticket_was_paid,Ticket was paid.,Ticket was paid.,Ticket wurde bezahlt.,罚单已付。,機票已付。,Билет был оплачен.,Vstupenka byla zaplacena.,Bilet został zapłacony.,A jegyet kifizették.,Il biglietto è stato pagato.,Se ha pagado el ticket.,Le ticket a été payé.,O bilhete foi pago.,チケットが支払われました。,
pay_ticket,Pay ticket,Pay ticket,Ticket bezahlen,支付票据,支付票,Оплатить билет,Zaplatit jízdenku,Zapłać bilet,Jegy kifizetése,Paga il biglietto,Pagar ticket,Payer le ticket,Bilhete pago,チケットの支払い,
reason,Reason,Reason,Grund,原因是,原因,Причина,Důvod,Powód,Ok,Motivo,Motivo,Raison,Motivo,理由,
dunning_fee,Dunning fee,Dunning fee,Mahngebühr,补票费,催款費,Сумма сбора за проезд,Poplatek za dunning,Opłata Dunning,Emlékeztetési díj,Tassa di sbarramento,Tasa de reclamación,Frais de relance,Taxa de cobrança,手数料がかかる,
date,Date,Date,Datum,日期,日期,Дата,Datum,Data,Dátum,Data,Fecha,Date,Data,日付,
count,Count,Count,Anzahl,数目,數數,Посчитать,Počet,Licznik,Számlálás,Conteggio,Cuenta,Compte,Conde,回数,
value,Value,Value,Wert,价值,價值,Значение,Hodnota,Wartość,Érték,Valore,Valor,Valeur,Valor,金額,
cop_panel,Cop Internal,Cop Internal,Polizei intern,内部警察,警察內部,Внутренний коп,Policista Interní,Cop Wewnętrzny,Zsaru Belső,Poliziotto interno,Policía interno,Flic interne,Cópia Interna,コピー・インターナル,
Cop_Rank,Available Cop Ranks,Available Cop Ranks,Verfügbare Polizei Ränge,可用警衔,可用警銜,Доступные полицейские звания,Dostupné policejní hodnosti,Dostępne stopnie policji,Rendelkezésre álló rendőri rangok,Gradi di polizia disponibili,Rangos policiales disponibles,Grades de police disponibles,patentes policiais disponíveis,利用可能な警察のランク,
Medic_Rank,Available Medic Ranks,Available Medic Ranks,Verfügbare Sanitäter Ränge,可用的医生等级,可用的醫生等級,Доступные ранги медика,Dostupné hodnosti mediků,Dostępne stopnie Medyka,Rendelkezésre álló orvosi rangok,Gradi medici disponibili,Rangos de Medic disponibles,Rangs Medic disponibles,Classificações de médicos disponíveis,利用可能なメディックランク,
Army_Rank,Available Army Ranks,Available Army Ranks,Verfügbare Armee Ränge,可用的军衔,可用的軍銜,Доступные армейские звания,Dostupné armádní hodnosti,Dostępne stopnie armii,Rendelkezésre álló hadsereg fokozatai,Gradi dell'esercito disponibili,Rangos de ejército disponibles,Grades d'armée disponibles,Postos do Exército Disponíveis,利用可能な軍の階級,
Rank,Current Rank,Current Rank,Aktueller Rang,当前排名,當前排名,Текущее место в рейтинге,Aktuální hodnost,Aktualna pozycja,Jelenlegi rang,Grado attuale,Posición actual,Rang actuel,Rank atual,現在のランク,
Army_list,Army list,Army list,Armee Liste,军队名单,軍隊名單,армейский список,armádní seznam,lista wojskowa,hadsereg listája,lista dell'esercito,lista del ejercito,liste de l'armée,lista do exército,軍隊リスト,
update_army_list_successful,Army list updated successfully,Army list updated successfully,Armee Liste erfolgreich aktualisiert,军队名单更新成功,軍隊名單更新成功,Список армий успешно обновлен,Seznam armády byl úspěšně aktualizován,Pomyślnie zaktualizowano listę armii,A hadsereglista sikeresen frissítve,Elenco dell'esercito aggiornato con successo,Lista de ejército actualizada con éxito,Liste d'armée mise à jour avec succès,Lista do exército atualizada com sucesso,軍隊リストが正常に更新されました,
manage_army,manage army,manage army,Armee verwalten,管理军队,管理軍隊,управлять армией,řídit armádu,zarządzać armią,hadsereget irányítani,gestire l'esercito,administrar el ejército,gérer l'armée,gerenciar exército,軍隊を管理する,
Army,army,army,Armee,军队,軍隊,армия,armáda,armia,hadsereg,esercito,Ejército,armée,Exército,軍,
FractionMenu,Fraction Menu,Fraction Menu,Fraktion Menü,
Trader_Storage,Trader Storage,Trader Storage,Händler Lager,
Fraction_Cash,Fraction Cash,Fraction Cash,Fraktion Guthaben,
Store_in_Fraction,Park in Fraction,Park in Fraction,Einparken Fraktion,
unlimited,unlimited,unlimited,unbegrenzt,
you_buy_too_much,You buy too much,You buy too much, Du kaufst zu viel,
you_sell_too_much,You sell too much,You sell too much, Du verkaufst zu viel,
Access_Bank_Account,Access Bank Account,Access Bank Account,Zugang Bankkonto,
Get_Money_From_Bank,Get Money From Bank,Get Money From Bank,Geld von Bank abheben,
Access_Fraction_Garage,Access Fraction Garage,Access Fraction Garage,Zugang Fraktionsgarage,
Fraction_Invitations,Fraction Invitations,Fraction Invitations,Fraktionseinladungen,
Accept_Invitation,Accept Invitation,Accept Invitation,Einladung akzeptieren,
Fraction_Leave,Fraction Leave,Fraction Leave,Fraktion verlassen,
Create_Faction,Create Faction,Create Faction,Fraktion gründen,
My_rights,My rights,My rights,Meine Rechte,
Open_Invitations,Open Invitations,Open Invitations,Offene Einladungen,
Fraction_Delete,Fraction Delete,Fraction Delete,Fraktion Löschen,
car_can_only_stored_in_fraction_garage, Car can only stored in fraction garage,Car can only stored in fraction garage, Auto kann nur in der Fraktionsgarage geparkt werden,
Pay_out_Fraction, Pay out from Fraction, Pay out from Fraction, Auszahlung Fraktionskasse,
Cash_Transfer_Fraction, Cash transfer from Fraction, Cash transfer from Fraction, Geld aus Fraktionskasse senden,
Deposit_Fraction,Deposit to Fraction,Deposit to Fraction, Einzahlung Fraktionskasse,
Privat, Privat, Privat, Privat,
Fraction, Fraction, Fraction, Fraktion,
